agencies,city,total,native,asian,black,pacific,other,white,multi,latino,sub_total,native_arrests,asian_arrests,black_arrests,latino_arrests,pacific_arrests,other_arrests,white_arrests,arrest_total,native_percnt,asian_percnt,black_percnt,latino_percnt,pacific_percnt,other_percnt,white_percnt,native_arrests_percnt,asian_arrests_percnt,black_arrests_percnt,latino_arrests_percnt,pacific_arrests_percnt,other_arrests_percnt,white_arrests_percnt,native_diff,asian_diff,black_diff,latino_diff,pacific_diff,other_diff,white_diff,city_trim
Philomath PD,Philomath city,5350,45,81,35,8,9,3397,234,337,4154,7,5,17,23,1,21,635,709,0.010832932113625422,0.019499277804525757,0.008425613866153106,0.08112662493981704,0.0019258545979778526,0.0021665864227250844,0.8177660086663457,0.009873060648801129,0.007052186177715092,0.023977433004231313,0.03244005641748942,0.0014104372355430183,0.029619181946403384,0.8956276445698167,-9.598714648242929e-4,-0.012447091626810666,0.015551819138078207,-0.04868656852232762,-5.154173624348343e-4,0.0274525955236783,0.07786163590347095,Philomath
Phoenix PD,Phoenix city,4475,25,58,30,6,16,2894,175,475,3685,2,1,6,15,1,6,444,475,0.0067842605156037995,0.015739484396200813,0.008141112618724558,0.12890094979647218,0.0016282225237449117,0.004341926729986432,0.7853459972862958,0.004210526315789474,0.002105263157894737,0.01263157894736842,0.031578947368421054,0.002105263157894737,0.01263157894736842,0.9347368421052632,-0.002573734199814326,-0.013634221238306076,0.004490466328643862,-0.09732200242805113,4.7704063414982507e-4,0.008289652217381989,0.14939084481896736,Phoenix
Portland Police Bureau MIP,Portland city,652503,3609,44187,28379,2675,3313,375429,31411,52271,543949,500,733,7074,2708,212,257,19310,30794,0.00663481319020717,0.08123371860229543,0.05217217055275403,0.09609540600313632,0.004917740449931887,0.006090644527336203,0.6901915436925153,0.016236929271936092,0.02380333831265831,0.22972007533935182,0.08793920893680587,0.0068844580113009025,0.00834578164577515,0.6270702084821719,0.009602116081728923,-0.05743038028963712,0.1775479047865978,-0.008156197066330445,0.0019667175613690153,0.002255137118438948,-0.06312133521034347,Portland
Reedsport PD,Reedsport city,4310,33,37,9,0,32,3043,170,189,3513,23,4,16,18,7,64,850,982,0.009393680614859094,0.01053230856817535,0.0025619128949615714,0.053800170794193,0,0.009109023626530032,0.8662112154853402,0.023421588594704685,0.004073319755600814,0.016293279022403257,0.018329938900203666,0.007128309572301426,0.06517311608961303,0.8655804480651731,0.014027907979845591,-0.006458988812574535,0.013731366127441686,-0.03547023189398933,0.007128309572301426,0.056064092463083,-6.307674201670999e-4,Reedsport
Roseburg PD,Roseburg city,23683,275,317,112,31,77,15993,1033,1128,18997,80,10,167,173,10,32,8766,9238,0.01447596988998263,0.016686845291361795,0.005895667737011107,0.059377796494183295,0.0016318366057798599,0.004053271569195136,0.8418697689108806,0.008659883091578264,0.001082485386447283,0.018077505953669627,0.018726997185537997,0.001082485386447283,0.0034639532366313053,0.9489066897596883,-0.005816086798404365,-0.015604359904914511,0.01218183821665852,-0.0406507993086453,-5.493512193325768e-4,-5.893183325638308e-4,0.10703692084880767,Roseburg
Salem PD MIP,Salem city,175535,1401,4431,2176,1483,610,92068,6385,26531,136568,124,136,925,1920,207,336,9809,13457,0.010258625739558316,0.032445375197703706,0.01593345439634468,0.19426952141057935,0.010859059223244098,0.004466639329857653,0.6741549997071056,0.009214535186148473,0.010106264397711229,0.0687374600579624,0.14267667385004087,0.015382328899457532,0.024968417923757154,0.7289143196849224,-0.0010440905534098432,-0.022339110799992477,0.05280400566161772,-0.051592847560538474,0.004523269676213434,0.0205017785938995,0.0547593199778168,Salem
Seaside PD,Seaside city,7115,43,102,79,9,25,4575,277,680,5799,6,3,70,89,3,161,1501,1833,0.007415071564062769,0.01758923952405587,0.013623038454906018,0.11726159682703914,0.0015519917227108122,0.004311088118641145,0.7889291257113296,0.0032733224222585926,0.0016366612111292963,0.038188761593016915,0.048554282596835786,0.0016366612111292963,0.0878341516639389,0.8188761593016912,-0.004141749141804176,-0.015952578312926576,0.024565723138110895,-0.06870731423020335,8.466948841848415e-5,0.08352306354529776,0.02994703359036166,Seaside
Sherwood PD,Sherwood city,20450,71,718,89,54,42,11527,715,1278,14548,7,17,39,51,4,67,534,719,0.0048803959307121255,0.049353863073962057,0.006117679406103932,0.08784712675281826,0.0037118504261754192,0.002886994775914215,0.7923425900467418,0.009735744089012517,0.02364394993045897,0.054242002781641166,0.07093184979137691,0.005563282336578581,0.09318497913769123,0.7426981919332406,0.004855348158300392,-0.025709913143503085,0.04812432337553724,-0.01691527696144135,0.0018514319104031619,0.09029798436177702,-0.04964439811350119,Sherwood
Springfield PD,Springfield city,61851,530,748,509,186,241,37527,2899,5755,48581,33,75,792,420,2,35,12542,13899,0.01090961487001091,0.015396965892015398,0.010477347111010477,0.11846195014511846,0.0038286572940038287,0.004960787139004961,0.7724624853337725,0.0023742715303259228,0.005396071659831643,0.05698251672782215,0.0302180012950572,1.4389524426217714e-4,0.0025181667745881,0.9023670767681128,-0.008535343339684988,-0.010000894232183755,0.04650516961681167,-0.08824394885006126,-0.0036847620497416516,-0.002442620364416861,0.1299045914343403,Springfield
Stanfield PD,Stanfield city,2144,13,7,6,4,4,956,74,510,1578,12,1,5,100,1,2,320,441,0.008238276299112801,0.004435994930291508,0.0038022813688212928,0.3231939163498099,0.0025348542458808617,0.0025348542458808617,0.605830164765526,0.027210884353741496,0.0022675736961451248,0.011337868480725623,0.22675736961451248,0.0022675736961451248,0.0045351473922902496,0.7256235827664399,0.018972608054628692,-0.0021684212341463835,0.007535587111904331,-0.09643654673529739,-2.672805497357369e-4,0.002000293146409388,0.11979341800091392,Stanfield
